epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,15436.2,1.13066,2.60805,1.15199,1.16152,0.73016,0.60946,0.6978,0.50562,0.72168,0.5739,0.64843,0.40365,1.03843,2.62871,0.99791,1.11828,0.002971,0.002971,0.002971
73,15637,1.12413,2.60865,1.14943,1.16413,0.72783,0.61157,0.69963,0.50603,0.72697,0.57223,0.64787,0.40386,1.0377,2.62925,0.99625,1.11759,0.002872,0.002872,0.002872
74,15834.1,1.12057,2.60628,1.14592,1.15587,0.73257,0.60858,0.69983,0.50667,0.72585,0.5735,0.64814,0.40392,1.0373,2.6296,0.9954,1.1172,0.002773,0.002773,0.002773
75,16032.5,1.12437,2.60471,1.14211,1.15939,0.73298,0.60746,0.70063,0.50666,0.728,0.5734,0.65033,0.4045,1.03755,2.62841,0.99494,1.11726,0.002674,0.002674,0.002674
76,16230.9,1.12048,2.59903,1.13829,1.15506,0.7328,0.60607,0.70065,0.50609,0.73326,0.57096,0.64999,0.40453,1.03655,2.62524,0.9939,1.11648,0.002575,0.002575,0.002575
77,16427.7,1.11249,2.58452,1.13027,1.14942,0.73211,0.60737,0.70065,0.50741,0.73576,0.57062,0.65041,0.405,1.0362,2.62461,0.99297,1.11641,0.002476,0.002476,0.002476
78,16626.7,1.11009,2.58389,1.12377,1.15075,0.73257,0.61012,0.70164,0.50749,0.7365,0.56964,0.65042,0.40522,1.03578,2.62463,0.99259,1.11616,0.002377,0.002377,0.002377
79,16823.4,1.10891,2.58713,1.13081,1.15044,0.72795,0.61934,0.70179,0.50781,0.7357,0.56913,0.65022,0.40546,1.03514,2.62256,0.99166,1.11574,0.002278,0.002278,0.002278
80,17022.2,1.10965,2.58583,1.12627,1.15018,0.72315,0.62261,0.70171,0.50766,0.73215,0.57329,0.65142,0.40646,1.03535,2.62183,0.99188,1.11563,0.002179,0.002179,0.002179
81,17221.2,1.10679,2.57208,1.11449,1.14826,0.72837,0.61909,0.70096,0.50828,0.72852,0.57512,0.65158,0.4065,1.03446,2.61809,0.99144,1.11477,0.00208,0.00208,0.00208
82,17418.3,1.1046,2.57166,1.11154,1.1439,0.73169,0.61775,0.7026,0.50904,0.72707,0.57456,0.65162,0.40671,1.03385,2.61637,0.98991,1.11432,0.001981,0.001981,0.001981
83,17615.4,1.10048,2.55162,1.10467,1.14277,0.73095,0.61924,0.70248,0.50912,0.72827,0.57524,0.65156,0.40724,1.03322,2.61797,0.98905,1.11377,0.001882,0.001882,0.001882
84,17813.8,1.09704,2.56512,1.0991,1.1429,0.73159,0.61926,0.70254,0.51021,0.72746,0.57612,0.65258,0.40704,1.03228,2.61524,0.98812,1.1128,0.001783,0.001783,0.001783
85,18009.7,1.09544,2.54993,1.09335,1.1373,0.72875,0.61955,0.70313,0.51054,0.72592,0.57809,0.65245,0.40698,1.03212,2.6147,0.98725,1.11244,0.001684,0.001684,0.001684
86,18208.4,1.08771,2.54655,1.08851,1.13862,0.73018,0.6186,0.70339,0.51076,0.72545,0.57851,0.65291,0.40778,1.03175,2.61478,0.98594,1.11199,0.001585,0.001585,0.001585
87,18404.3,1.08966,2.54567,1.08983,1.1357,0.72668,0.61957,0.70376,0.51097,0.72466,0.57973,0.65334,0.40806,1.03135,2.61319,0.98518,1.11182,0.001486,0.001486,0.001486
88,18603.2,1.08488,2.54223,1.07645,1.13573,0.73075,0.6174,0.70432,0.51205,0.73168,0.57776,0.65359,0.40818,1.03118,2.61175,0.98431,1.11153,0.001387,0.001387,0.001387
